feature,p_value,method
Feat 131,0.22813999410629066,PCA
Feat 132,0.005051136114386369,PCA
Feat 133,0.0018750432212105415,PCA
Feat 134,0.11893214631184532,PCA
Feat 135,5.495278226429038e-07,PCA
Feat 136,0.7793392283446012,PCA
Feat 137,4.2642758668200144e-05,PCA
Feat 138,0.009031841793195399,PCA
Feat 139,0.0043833748558224405,PCA
Feat 140,0.9431762240768349,PCA
Feat 141,0.014486610461187741,PCA
Feat 142,0.009718020038486468,PCA
Feat 143,0.007358641653030073,PCA
Feat 144,0.17477086234553327,PCA
Feat 145,0.002121101234467449,PCA
Feat 146,8.087893654599353e-05,PCA
Feat 147,0.09219415371657641,PCA
Feat 148,0.9940471451432478,PCA
Feat 149,0.2061453942138718,PCA
Feat 150,0.08599821258171353,PCA
Feat 151,0.15179200924988379,PCA
Feat 152,0.7114796485966666,PCA
Feat 153,0.11040116819494841,PCA
Feat 154,0.0033986543658649044,PCA
Feat 155,0.0024699804534711557,PCA
Feat 156,0.46254636248285697,PCA
Feat 157,0.8884537858011086,PCA
Feat 158,0.08978325077559318,PCA
Feat 159,0.37647581892793636,PCA
Feat 160,0.4392772785359549,PCA
Feat 161,0.01330109336807704,PCA
Feat 162,0.8735814191244536,PCA
Feat 163,0.2143030583882094,PCA
Feat 164,0.17540241876822452,PCA
Feat 165,0.6720576817677646,PCA
Feat 166,0.21165136693581652,PCA
Feat 167,0.0448047021273468,PCA
Feat 168,0.7289595721993603,PCA
Feat 169,0.02110985055698338,PCA
Feat 170,0.12791310411485216,PCA
Feat 171,0.004160095924667178,PCA
Feat 172,0.7040408623882697,PCA
Feat 173,0.02003129575344456,PCA
Feat 174,0.32718057774921827,PCA
Feat 175,0.004313958797673763,PCA
Feat 176,0.0005211365761705537,PCA
Feat 177,0.4982790046786346,PCA
Feat 178,0.03443493847988445,PCA
Feat 179,0.019796821376420165,PCA
Feat 180,0.0058819580169574845,PCA
Feat 181,0.29807311710236467,PCA
Feat 182,0.00797735774323458,PCA
Feat 183,0.10417795337395669,PCA
Feat 184,0.0034857808377665783,PCA
Feat 185,0.0001517903248558597,PCA
Feat 186,0.029812112869170602,PCA
Feat 187,0.00011578258190355882,PCA
Feat 188,0.0035059378971134445,PCA
Feat 189,0.05493006853810277,PCA
Feat 190,0.06811775113535577,PCA
Feat 191,0.0932472696114673,PCA
Feat 192,8.675552055969681e-05,PCA
Feat 193,0.0053433018471488285,PCA
Feat 194,0.00026931686725382455,PCA
Feat 195,0.00025481612435639757,PCA
Feat 196,2.395025819206917e-05,PCA
Feat 197,0.00047681092747540196,PCA
Feat 198,0.00016790946967950072,PCA
Feat 199,0.006747883173664722,PCA
Feat 200,0.03921162524849721,PCA
