method,target,feat_1,feat_2,p_value
Isomap,emotion,subject,predicted_label,6.9303600073827146e-12
Isomap,emotion,emotion,subject,0.9215423752967331
Isomap,emotion,emotion,priming,0.8424266927746489
Isomap,emotion,emotion,predicted_label,3.0613545723744024e-19
Isomap,emotion,priming,subject,0.999999999370659
Isomap,emotion,priming,emotion,0.8424266927746489
Isomap,emotion,priming,predicted_label,0.5418536056060952
Isomap,emotion,predicted_label,subject,6.930360007382615e-12
Isomap,emotion,predicted_label,emotion,3.0613545723744024e-19
Isomap,emotion,predicted_label,priming,0.5418536056060952
Isomap,priming,subject,emotion,0.9998780311860489
Isomap,priming,subject,priming,0.48022317180441687
Isomap,priming,subject,predicted_label,8.359527239406615e-10
Isomap,priming,emotion,subject,0.9998780311860489
Isomap,priming,emotion,priming,0.7685070312040313
Isomap,priming,emotion,predicted_label,0.9148609197549143
Isomap,priming,priming,subject,0.48022317180441654
Isomap,priming,priming,emotion,0.7685070312040313
Isomap,priming,priming,predicted_label,6.552507461845626e-13
Isomap,priming,predicted_label,subject,8.35952723940673e-10
Isomap,priming,predicted_label,emotion,0.9148609197549143
Isomap,priming,predicted_label,priming,6.552507461845626e-13
Hessian,emotion,subject,emotion,0.7963440141294448
Hessian,emotion,subject,priming,0.9999999999998619
Hessian,emotion,subject,predicted_label,2.5735893354245164e-11
Hessian,emotion,emotion,subject,0.796344014129445
Hessian,emotion,emotion,priming,0.7005571111065398
Hessian,emotion,emotion,predicted_label,3.126089293026185e-19
Hessian,emotion,priming,subject,0.9999999999998619
Hessian,emotion,priming,emotion,0.7005571111065398
Hessian,emotion,priming,predicted_label,0.005344200094243018
Hessian,emotion,predicted_label,subject,2.5735893354244783e-11
Hessian,emotion,predicted_label,emotion,3.126089293026185e-19
Hessian,emotion,predicted_label,priming,0.005344200094243018
Hessian,priming,subject,emotion,0.9998837964345922
Hessian,priming,subject,priming,0.010104102613681614
Hessian,priming,subject,predicted_label,1.9123587367325006e-08
Hessian,priming,emotion,subject,0.9998837964345922
Hessian,priming,emotion,priming,0.7967083000601625
Hessian,priming,emotion,predicted_label,0.593629521621049
Hessian,priming,priming,subject,0.010104102613681614
Hessian,priming,priming,emotion,0.7967083000601625
Hessian,priming,priming,predicted_label,2.6625019560414904e-11
Hessian,priming,predicted_label,subject,1.9123587367324722e-08
Hessian,priming,predicted_label,emotion,0.5936295216210491
Hessian,priming,predicted_label,priming,2.6625019560414904e-11
MDS,emotion,subject,emotion,0.8965858571151462
MDS,emotion,subject,priming,0.9999999999162758
MDS,emotion,subject,predicted_label,3.947961367940991e-13
MDS,emotion,emotion,subject,0.8965858571151462
MDS,emotion,emotion,priming,0.9907200617842373
MDS,emotion,emotion,predicted_label,9.876212207784676e-19
MDS,emotion,priming,subject,0.9999999999162758
MDS,emotion,priming,emotion,0.9907200617842373
MDS,emotion,priming,predicted_label,0.19366937206610818
MDS,emotion,predicted_label,subject,3.9479613679409867e-13
MDS,emotion,predicted_label,emotion,9.876212207784676e-19
MDS,emotion,predicted_label,priming,0.19366937206610818
MDS,priming,subject,emotion,0.9999999999964783
MDS,priming,subject,priming,0.04495929152531401
MDS,priming,subject,predicted_label,1.9564224008098813e-16
MDS,priming,emotion,subject,0.9999999999964783
MDS,priming,emotion,priming,0.773689299140787
MDS,priming,emotion,predicted_label,0.2075562632540727
MDS,priming,priming,subject,0.044959291525313964
MDS,priming,priming,emotion,0.773689299140787
MDS,priming,priming,predicted_label,6.045158351932001e-16
MDS,priming,predicted_label,subject,1.9564224008099094e-16
MDS,priming,predicted_label,emotion,0.2075562632540727
MDS,priming,predicted_label,priming,6.045158351932001e-16
t-SNE,emotion,subject,emotion,0.15250876185218126
t-SNE,emotion,subject,priming,1.0
t-SNE,emotion,subject,predicted_label,3.428667486964187e-27
t-SNE,emotion,emotion,subject,0.15250876185218126
t-SNE,emotion,emotion,priming,0.9994383556813089
t-SNE,emotion,emotion,predicted_label,3.2583552049838994e-19
t-SNE,emotion,priming,subject,1.0
t-SNE,emotion,priming,emotion,0.9994383556813089
t-SNE,emotion,priming,predicted_label,0.9188835320902877
t-SNE,emotion,predicted_label,subject,3.428667486964187e-27
t-SNE,emotion,predicted_label,emotion,3.2583552049839234e-19
t-SNE,emotion,predicted_label,priming,0.9188835320902877
